"Name","Tab","Quantity","Price","Total"
"Shaper Guardian Map","m","54","","270"
"Prismatic Catalyst","catalyst","7","","268.24"
"Cosmic Fragment","sac","4","","257.8"
"Synthesising Fragment","sac","12","","256.08"
"Orb of Binding","curr","547","","254.90200000000002"
"Timeless Eternal Empire Splinter","sac","94","","248.16000000000003"
"6% increased Flask Effect Duration 4p/84","#4b","1","","244"
"Blight Scarab of Invigoration","sac","8","","243.2"
"Legion Scarab of Officers","sac","14","","240.79999999999998"
"Delirium Scarab of Paranoia","sac","56","","236.88000000000002"
"Armourer's Scrap","curr","1394","","236.8406"
"Altered Distant Memory","m","8","","235.2"
"Domination Scarab of Terrors","sac","2","","234.4"
"Legion Scarab of Treasures","sac","10","","224.8"
"Essence Scarab of Calcification","sac","8","","221.12"
"Harvest Scarab of Cornucopia","sac","1","","216.5"
"Baran Map","m","6","","210"
"Tainted Orb of Fusing","curr","18","","207"
"Horned Scarab of Awakening","sac","2","","206.4"
"Fragment of Shape","sac","1","","206.2"
"Sacred Orb","curr","5","","200.79999999999998"
"Grace of the Goddess","t","2","","200"
"Split Arrow - 1/20","gemy","3","","192"
"Ralakesh's Impatience","#4b","2","","179.2"
"Ancient Orb","curr","7","","171.92"
"Tainted Armourer's Scrap","curr","20","","171.8"
"The Gull","#4b","2","","170"
"Incursion Scarab of Timelines","sac","11","","168.52"
"Memory of Reverence","curr","12","","165.60000000000002"
"Screaming Invitation","sac","2","","162"
"Sacrifice at Noon","sac","25","","159.75"
"Greater Eldritch Ember","curr","792","","158.4"
"Twisted Distant Memory","m","8","","152"
"Screaming Essence of Anger","ess","13","","151.71"
"The Enlightened","card","3","","150.84"
"Orb of Unmaking","curr","1114","","150.6128"
"The Eradicator Map","m","18","","147.6"
"Monochrome","card","1","","145.70000000000002"
"Kalguuran Scarab of Enriching","sac","68","","145.52"
"Runegraft of Quaffing","#4b","18","","143.64000000000001"
"Veritania Map","m","4","","140"
"Tranquillity","card","1","","139.1142857142857"
"Fertile Catalyst","catalyst","6","","138.84"
"The Coward's Trial","m","1","","137.5"
"Bestiary Scarab of Duplicating","sac","18","","136.62"
"Betrayal Scarab of Reinforcements","sac","83","","136.12"
"The Wilted Rose","card","3","","133.71"
"Lightning Arrow - 1/20","gemy","1","","124"
"Screaming Essence of Scorn","#4b","49","","120.53999999999999"
"Divination Scarab of Pilfering","sac","6","","119.88"
"Orb of Unravelling","curr","5","","114.75"
"Skittering Delirium Orb","deli","1","","111.5"
"Ritual Scarab of Selectiveness","sac","31","","110.67"
"Tainted Exalted Orb","curr","1","","107.2"
"Expedition Scarab of Verisium Powder","sac","18","","106.92"
"Avian Pursuit","card","1","","104.25"
"Domination Scarab","sac","35","","103.95"
"Grace - 21/0 corrupted","gemy","1","","101"
"The Summoner","card","4","","100"
"The Porcupine","card","2","","100"
"Timeless Maraketh Splinter","sac","64","","99.2"
"Ambush Scarab of Discernment","sac","16","","98.88"
"Essence Scarab of Adaptation","sac","12","","98.64000000000001"
"Breach Scarab of the Incensed Swarm","sac","6","","96.35999999999999"
"Screaming Essence of Woe","ess","10","","96.19999999999999"
"Blacksmith's Delirium Orb","deli","7","","95.62"
"Armoursmith's Delirium Orb","deli","7","","95.27"
"Harvest Scarab","sac","13","","92.56"
"Cortex","m","1","","91"
"Blight Scarab of the Blightheart","sac","8","","90.72"
"The Purifier Map","m","11","","88"
"Runegraft of the Imbued","#4b","14","","85.68"
"Abyss Scarab of Descending","sac","9","","85.23"
"Expedition Scarab of Runefinding","sac","14","","85.12"
"Tattoo of the Ramako Sniper","#4b","2","","85.02"
"Blazing Salvo - 1/20","gemy","1","","84.49"
"Shrieking Essence of Greed","ess","7","","84"
"Timeless Vaal Splinter","sac","72","","82.8"
"Memory of Loneliness","curr","15","","80.55"
"Screaming Essence of Wrath","ess","10","","79.80000000000001"
"Mortal Ignorance","sac","5","","79.65"
"Abyss Scarab of Profound Depth","sac","4","","77.08"
"Betrayal Scarab of Unbreaking","sac","17","","76.83999999999999"
"Rewritten Distant Memory","m","5","","76"
"Mortal Grief","sac","5","","76"
"Anarchy's Price","card","1","","74.9076923076923"
"Memory of Trauma","curr","14","","73.92"
"Mortal Rage","sac","3","","73.47"
"15% increased Critical Strike Chance 4p/84","#4b","1","","73"
"Kalguuran Scarab of Guarded Riches","sac","48","","72.48"
"Sacrifice at Dusk","sac","34","","71.4"
"Shrieking Essence of Zeal","ess","6","","69.06"
"Simulacrum Splinter","deli","265","","68.5025"
"Runegraft of Refraction","#4b","11","","66.44"
"Intrinsic Catalyst","catalyst","42","","65.94"
"Orb of Augmentation","curr","1630","","65.852"
"Abyss Scarab of Multitudes","sac","8","","64.64"
"Map (Tier 14)","m","16","","64"
"Expedition Scarab of Archaeology","sac","16","","64"
"Screaming Essence of Zeal","#4b","54","","62.63999999999999"
"Essence Scarab of Ascent","sac","11","","62.150000000000006"
"Ritual Scarab of Corpses","sac","23","","62.1"
"Delirium Scarab of Delusions","sac","21","","60.690000000000005"
"12% increased Attack Damage while holding a Shield 8p/75","#4b","2","","60"
"Divine Ire - 1/20","gemy","1","","60"
"Mortal Hope","sac","4","","59.84"
"Screaming Essence of Greed","ess","15","","59.550000000000004"
"Abyss Scarab of Edifice","sac","10","","58.7"
"Runegraft of Suffering","#4b","10","","57.699999999999996"
"10% increased Area Damage 4p/84","#4b","1","","57"
"Instilling Orb","curr","65","","56.6085"
"Runegraft of the Sinistral","#4b","5","","55.9"
"Sacrifice at Midnight","sac","9","","55.53"
"Wild Crystallised Lifeforce","curr","2733","","54.68733"
"Destined to Crumble","card","1","","54.19"
"The Constrictor Map","m","6","","54"
"The Enslaver Map","m","6","","54"
"Legion Scarab of Eternal Conflict","sac","1","","53.6"
"Greater Eldritch Ichor","curr","53","","53"
"Betrayal Scarab of the Allflame","sac","6","","52.92"
"Offering to the Goddess","sac","10","","52.599999999999994"
"Shrieking Essence of Envy","ess","4","","52.32"
"Something Dark","card","5","","51.25"
"Titanic Scarab of Legend","sac","64","","50.4832"
"Watcher's Eye","9","1","","50"
"Cold Snap - 1/20","gemy","1","","50"
"Shrieking Essence of Misery","ess","5","","49.6"
"Raise Spectre - 1/20","gemy","1","","48.8"
"Shrieking Essence of Dread","ess","5","","47.75"
"Ultimatum Scarab of Dueling","sac","8","","47.28"
"The Army of Blood","card","525","","46.375"
"Ultimatum Scarab of Inscription","sac","17","","45.56"
"A Stone Perfected","card","3","","45.24"
"Expedition Scarab of Infusion","sac","30","","45"
"Enhance Support - 1/0","gemy","9","","45"
"Lingering Remnants","card","8","","44.24"
"Glimmer of Hope","card","7","","43.96"
"Screaming Essence of Contempt","ess","5","","43.8"
"Beyond Scarab of Resurgence","sac","20","","43.4"
"Diviner's Delirium Orb","deli","1","","42.58"
"Void Manipulation Support - 1/20","gemy","1","","42.5"
"Screaming Essence of Doubt","ess","5","","42.400000000000006"
"Scroll of Wisdom","curr","761","","42.11374"
"Screaming Essence of Fear","ess","8","","42"
"Shrieking Essence of Loathing","ess","6","","42"
"The Patient","card","4","","40.296875"
"Horned Scarab of Glittering","sac","4","","40.2"
"Vaults of Atziri","m","1","","40"
"Volatility Support - 1/20","gemy","1","","40"
"Vanity","card","5","","40"
"Legion Scarab","sac","4","","39.92"
"The Cataclysm","card","10","","39.900000000000006"
"Screaming Essence of Envy","ess","13","","38.61"
"Deafening Essence of Contempt","ess","1","","38.48"
"Cartography Scarab of Escalation","sac","19","","38.38"
"Horned Scarab of Pandemonium","sac","1","","37.45"
"Map (Tier 12)","m","36","","36"
"Scarab of Radiant Storms","sac","6","","36"
"Tempering Catalyst","catalyst","4","","35.68"
"Delirium Scarab","sac","18","","35.64"
"Drox Map","m","1","","35"
"Al-Hezmin Map","m","1","","35"
"Horned Scarab of Nemeses","sac","35","","35"
"Immortal Call - 1/23 corrupted","gemy","1","","35"
"Shrieking Essence of Wrath","ess","3","","34.47"
"Delirium Scarab of Neuroses","sac","5","","34.35"
"Screaming Essence of Hatred","ess","5","","32.85"
"Shrieking Essence of Sorrow","ess","3","","32.19"
"Runegraft of the Agile","#4b","6","","31.98"
"Lesser Eldritch Ichor","curr","41","","31.799599999999998"
"Shrieking Essence of Spite","ess","3","","31.23"
"Runegraft of the Bound","#4b","6","","31.14"
"Spell Echo Support - 1/20","gemy","1","","30.6"
"Ambush Scarab of Potency","sac","29","","30.450000000000003"
"Sacrifice at Dawn","sac","30","","30.3"
"Brutal Restraint","t","1","","30"
"Map (Tier 4)","m","30","","30"
"The Putrid Cloister","m","1","","30"
"Winter Orb - 1/20","gemy","1","","29"
"Fragment of Terror","sac","1","","28.67"
"Bestiary Scarab of the Herd","sac","4","","28.32"
"Beyond Scarab of the Invasion","sac","17","","27.37"
"Shrieking Essence of Suffering","ess","5","","26.8"
"12% increased Lightning Damage 8p/84","#4b","1","","26"
"Sulphite Scarab","sac","13","","25.87"
"The Chains that Bind","card","2","","25.54"
"Tattoo of the Ramako Archer","#4b","2","","25.3"
"Disdain","card","3","","25.29"
"Map (Tier 13)","m","25","","25"
"Poorjoy's Asylum","m","5","","25"
"Empower Support - 1/0","gemy","1","","25"
"Screaming Essence of Anguish","ess","11","","24.86"
"Assassin's Mark - 1/23 corrupted","gemy","1","","24.8"
"Map (Tier 11)","m","24","","24"
"Runegraft of Rotblood","#4b","1","","23.97"
"Tattoo of the Tasalio Tideshifter","#4b","2","","23.84"
"Lightning Penetration Support - 1/20","gemy","1","","23.8"
"Delirium Scarab of Mania","sac","13","","23.79"
"Lysah's Respite","card","3","","23.61"
"Shrieking Essence of Anger","ess","4","","23.2"
"Emperor's Luck","card","4","","22.8"
"Screaming Essence of Spite","ess","8","","22.8"
"Chromatic Orb","curr","131","","22.7023"
"Ritual Scarab of Wisps","sac","9","","22.589999999999996"
"Map (Tier 7)","m","22","","22"
"Map (Tier 10)","m","22","","22"
"Map (Tier 1)","m","10","","21.6"
"Unstable Catalyst","catalyst","3","","21.419999999999998"
"Sulphite Scarab of Fumes","sac","20","","21.200000000000003"
"Shrieking Essence of Anguish","ess","10","","21.099999999999998"
"Tattoo of the Arohongui Scout","#4b","1","","21.07"
"Map (Tier 3)","m","21","","21"
"Map (Tier 6)","m","21","","21"
"The Tinkerer's Table","card","3","","21"
"Screaming Essence of Misery","ess","7","","21"
"Runegraft of the Combatant","#4b","3","","20.97"
"Runegraft of Blasphemy","#4b","4","","20.92"
"Bloodlust Support - 1/23 corrupted","gemy","1","","20.8"
"Influencing Scarab of Hordes","sac","8","","20.4"
"Ancestral Vision","9","1","","20.2"
"Primal Crystallised Lifeforce","curr","1035","","20.1411"
"Tainted Blacksmith's Whetstone","curr","3","","20.1"
"12% increased Damage with Two Handed Weapons 8p/84","#4b","1","","20"
"Nightblade Support - 1/20","gemy","1","","20"
"Tornado Shot - 1/20","gemy","1","","20"
"Increased Critical Strikes Support - 1/20","gemy","1","","20"
"Hunter's Reward","card","2","","20"
"The Eye of the Dragon","card","2","","20"
"Orb of Transmutation","curr","2308","","19.631847999999998"
"Herald of Agony - 1/20","gemy","1","","19.4"
"Runegraft of Time","#4b","1","","19.37"
"Maloney's Mechanism","9","1","","19.1"
"Map (Tier 5)","m","19","","19"
"Screaming Essence of Loathing","ess","3","","18.36"
"The Aspirant","card","1","","18.25"
"Discharge - 1/20","gemy","1","","18.2"
"Map (Tier 15)","m","18","","18"
"Fragmented Delirium Orb","deli","2","","17.94"
"Scarab of Stability","sac","11","","17.6"
"Discipline - 1/20","gemy","1","","17.5"
"The Shepherd's Sandals","card","2","","16.96"
"Titanic Scarab of Treasures","sac","12","","16.68"
"Screaming Essence of Dread","ess","6","","16.02"
"More is Never Enough","card","4","","16"
"Arrogance of the Vaal","card","1","","15.72"
"Shrieking Essence of Doubt","ess","9","","15.48"
"No Traces","card","8","","15.111999999999998"
"Haunting Shadows","card","1","","15"
"The Wolf","card","3","","15"
"Shrieking Essence of Rage","ess","3","","15"
"Accelerating Catalyst","catalyst","5","","15"
"Volatile Power","card","1","","14.93"
"Shrieking Essence of Woe","ess","4","","14.52"
"Map (Tier 2)","m","14","","14"
"Runegraft of the River","#4b","1","","13.91"
"Incursion Scarab of Champions","sac","14","","13.713000000000001"
"Anarchy Scarab of the Exceptional","sac","21","","13.6206"
"Rebirth and Renewal","card","2","","13.32"
"Lesser Eldritch Ember","curr","31","","13.1564"
"Transmutation Shard","curr","18","","13.1148"
"Thaumaturge's Delirium Orb","deli","1","","12.85"
"Portal Scroll","curr","416","","12.49248"
"Tattoo of the Arohongui Warrior","#4b","1","","12.49"
"The Poet","card","2","","12.34"
"Prismweave","t2","6","","12"
"The Tireless Extractor","card","3","","12"
"The Price of Prescience","card","2","","12"
"Shrieking Essence of Contempt","ess","6","","12"
"The Wolverine","card","2","","11.92"
"The Finishing Touch","card","1","","11.57"
"Screaming Essence of Suffering","ess","6","","11.52"
"Doedre's Madness","card","2","","11.12"
"Jeweller's Delirium Orb","deli","1","","10.71"
"Vinia's Token","card","2","","10.6"
"Momentum Support - 1/20","gemy","1","","10.5"
"Hunter's Resolve","card","7","","10.5"
"The Seeker","card","1","","10.046666666666667"
"Charged Dash - 1/23 corrupted","gemy","1","","10"
"Explosive Arrow - 1/20","gemy","1","","10"
"Frost Shield - 1/20","gemy","1","","10"
"The Calling","card","2","","9.94"
"Megalomaniac","t","1","","9.6"
"Deafening Essence of Loathing","ess","1","","9.53"
"Assassin's Favour","card","1","","9.5"
"Deafening Essence of Envy","ess","1","","9.42"
"15% increased Critical Strike Chance 5p/84","#4b","1","","9"
"Maelström of Chaos","m","9","","9"
"Timeless Delirium Orb","deli","1","","9"
"Blighted Delirium Orb","deli","1","","8.97"
"Anarchy Scarab of Partnership","sac","12","","8.9556"
"A Chilling Wind","card","1","","8.93"
"Timeless Vaal Emblem","sac","1","","8.9"
"Abyssal Delirium Orb","deli","1","","8.88"
"12% increased Totem Damage 5p/84","#4b","1","","8.8"
"The Wrath","card","7","","8.75"
"Dementophobia","card","1","","8.73"
"Screaming Essence of Rage","ess","6","","8.459999999999999"
"Singular Delirium Orb","deli","1","","8.29"
"Bonechill Support - 1/20","gemy","1","","8.2"
"Map (Tier 8)","m","8","","8"
"Incursion Scarab of Invasion","sac","8","","8"
"Mirror Arrow - 1/20","gemy","4","","8"
"Bladefall - 1/20","gemy","1","","7.9"
"Screaming Essence of Sorrow","ess","8","","7.848"
"Tattoo of the Arohongui Moonwarden","#4b","1","","7.84"
"Cartography Scarab of Corruption","sac","3","","7.74"
"10% increased Elemental Damage 10p/84","#4b","1","","7.5"
"Perfection","card","1","","7.5"
"Horned Scarab of Tradition","sac","1","","7.13"
"Punishment - 1/20","gemy","1","","7"
"Divine Ire - 1/23 corrupted","gemy","1","","7"
"Humility","card","7","","6.9468"
"Abandoned Wealth","card","4","","6.864"
"Abrasive Catalyst","catalyst","5","","6.800000000000001"
"The Lover","card","1","","6.73"
"Grand Eldritch Ember","curr","1","","6.64"
"Beyond Scarab of Haemophilia","sac","34","","6.6232"
"Poisonous Concoction - 1/20","gemy","1","","6.5"
"The Magma Crab","card","1","","6.5"
"Whispering Delirium Orb","deli","1","","6.34"
"Shrieking Essence of Scorn","ess","1","","6.25"
"Runegraft of Connection","#4b","1","","6.16"
"Titanic Scarab","sac","12","","6.134399999999999"
"Perseverance","t2","6","","6"
"Olmec's Sanctum","m","6","","6"
"Map (Tier 9)","m","6","","6"
"Oba's Cursed Trove","m","6","","6"
"Vigilant Strike - 1/20","gemy","1","","6"
"The Wretched","card","3","","6"
"The Lion","card","3","","6"
"Time-Lost Relic","card","6","","6"
"Earth Drinker","card","1","","6"
"Noxious Catalyst","catalyst","6","","6"
"Influencing Scarab of Interference","sac","3","","5.88"
"Ultimatum Scarab of Bribing","sac","2","","5.88"
"Cast when Stunned Support - 1/20","gemy","1","","5.64"
"Tainted Jeweller's Orb","curr","1","","5.6"
"Elemental Weakness - 1/20","gemy","1","","5.5"
"Essence Scarab","sac","12","","5.4924"
"Thunderstorm - 1/20","gemy","1","","5.4"
"The Dark Mage","card","2","","5.4"
"Runegraft of Loyalty","#4b","1","","5.33"
"Domination Scarab of Evolution","sac","8","","5.2328"
"Runegraft of the Novamark","#4b","1","","5.21"
"Timeless Karui Splinter","sac","7","","5.159"
"The Doppelganger","card","1","","5.13"
"Influencing Scarab of the Elder","sac","20","","5.004"
"Caer Blaidd, Wolfpack's Den","m","5","","5"
"Charged Traps Support - 20/0","gemy","1","","5"
"Summon Ice Golem - 1/20","gemy","1","","5"
"Chance to Bleed Support - 1/20","gemy","1","","5"
"A Dusty Memory","card","1","","5"
"The Spark and the Flame","card","1","","5"
"The King's Heart","card","1","","5"
"Bowyer's Dream","card","1","","5"
"Screaming Essence of Torment","ess","9","","4.9193999999999996"
"Beyond Scarab","sac","15","","4.905"
"10% increased Spell Damage 12p/75","t","1","","4.8"
"Frostbite - 1/20","gemy","1","","4.8"
"Deafening Essence of Suffering","ess","1","","4.79"
"Vampiric Link - 1/20","gemy","2","","4.4"
"Perforate - 1/20","gemy","1","","4.4"
"Acton's Nightmare","m","6","","4.38"
"Torment Scarab of Possession","sac","11","","4.3648"
"Demigod's Wager","card","1","","4.305714285714286"
"Purifying Flame - 1/23 corrupted","gemy","1","","4.3"
"Crushing Fist - 1/20","gemy","1","","4.3"
"Sigil of Power - 1/20","gemy","1","","4.3"
"Jeweller's Orb","curr","84","","4.29576"
"Rain of Arrows - 1/20","gemy","1","","4.2"
"Fire Trap - 1/23 corrupted","gemy","1","","4.2"
"Sambodhi's Vow","card","2","","4.2"
"The Polymath","card","1","","4.133333333333334"
"Gemcutter's Promise","card","2","","4.06"
"The Saint's Treasure","card","7","","4.004"
"Bated Breath","t2","4","","4"
"Wurm's Molt","t2","4","","4"
"Bisco's Leash","t2","2","","4"
"Hallowed Ground","m","4","","4"
"Death and Taxes","m","4","","4"
"Cartography Scarab of the Multitude","sac","2","","4"
"Autoexertion - 1/20","gemy","1","","4"
"The Inoculated","card","2","","4"
"The Mercenary","card","2","","4"
"The Enforcer","card","1","","4"
"Tattoo of the Tawhoa Naturalist","#4b","2","","3.98"
"Scarab of Adversaries","sac","4","","3.8704"
"The Transformation","card","1","","3.832"
"Spectral Throw - 1/20","gemy","1","","3.8"
"Overexertion Support - 1/20","gemy","1","","3.8"
"Breach Scarab of the Marshal","sac","1","","3.53"
"Earthshatter - 1/20","gemy","1","","3.5"
"The Offering","card","2","","3.5"
"Call to the First Ones","card","1","","3.32"
"Belt of the Deceiver","t2","3","","3"
"Perandus Blazon","t2","3","","3"
"Siegebreaker","t2","3","","3"
"Kaom's Binding","t2","3","","3"
"Faminebind","t2","3","","3"
"Hall of Grandmasters","m","3","","3"
"Whakawairua Tuahu","m","3","","3"
"Influencing Scarab of the Shaper","sac","6","","3"
"Immolate Support - 1/23 corrupted","gemy","1","","3"
"Impending Doom Support - 1/23 corrupted","gemy","1","","3"
"Splitting Steel - 1/20","gemy","1","","3"
"War Banner - 1/20","gemy","1","","3"
"Justified Ambition","card","3","","3"
"The Dragon","card","1","","3"
"Contagion - 1/20","gemy","1","","2.9"
"Mawr Blaidd","card","3","","2.8125"
"Blast Rain - 1/23 corrupted","gemy","1","","2.8"
"Conflagration - 1/20","gemy","1","","2.8"
"The Druggery","t2","3","","2.73"
"Pillars of Arun","m","3","","2.67"
"Checkmate","card","1","","2.45575"
"Shrapnel Ballista - 1/20","gemy","1","","2.4"
"Scorching Ray - 1/20","gemy","1","","2.3"
"Behead Support - 1/20","gemy","1","","2.3"
"The Conduit","card","2","","2.2222222222222223"
"Viper Strike - 1/20","gemy","1","","2.2"
"Ancestral Call Support - 1/20","gemy","1","","2.2"
"Essence Scarab of Stability","sac","7","","2.1455"
"Coveted Possession","card","8","","2.033777777777778"
"Ultimatum Scarab","sac","8","","2.0312"
"Usurper's Penance","t","1","","2"
"Meginord's Girdle","t2","2","","2"
"Ascent From Flesh","t2","2","","2"
"Galvanic Field - 1/20","gemy","1","","2"
"Soulrend - 1/20","gemy","1","","2"
"Boneshatter - 1/20","gemy","1","","2"
"Detonate Dead - 1/20","gemy","1","","2"
"The Last Laugh","card","2","","2"
"Anarchy Scarab","sac","21","","1.98954"
"The Gladiator","card","1","","1.98"
"Tattoo of the Tawhoa Scout","#4b","1","","1.95"
"Incursion Scarab","sac","9","","1.9331999999999998"
"Harmony of Souls","card","1","","1.83"
"The Warden","card","1","","1.82"
"Glacial Shield Swipe - 1/23 corrupted","gemy","1","","1.8"
"Blink Arrow - 1/20","gemy","1","","1.8"
"Blueprint: Tunnels - 1/3","#4b","1","","1.78"
"The Academic","card","2","","1.75"
"Domination Scarab of Apparitions","sac","5","","1.7225"
"Bestiary Scarab","sac","7","","1.722"
"Anarchy Scarab of Gigantification","sac","6","","1.6830000000000003"
"The Hoarder","card","7","","1.6683333333333332"
"Tattoo of the Rongokurai Brute","#4b","1","","1.5"
"Shrieking Essence of Fear","ess","1","","1.47"
"Ceinture of Benevolence","t2","7","","1.4000000000000001"
"Fork Support - 1/20","gemy","1","","1.4"
"Imbued Catalyst","catalyst","2","","1.2608"
"The Brittle Emperor","card","1","","1.25"
"Rain of Chaos","card","10","","1.25"
"The Inventor","card","1","","1.2173333333333334"
"Betrayal Scarab","sac","5","","1.206"
"Gift of Asenath","card","1","","1.2"
"Blueprint: Underbelly - 1/3","#4b","1","","1.09"
"Expedition Scarab","sac","3","","1.0812"
"Alone in the Darkness","card","1","","1.04"
"Tattoo of the Tukohama Brawler","#4b","1","","1.03"
"Azure Rage","card","1","","1.01"
"Fragmented Incubator","#4b","1","","1"
"Blueprint: Bunker - 1/3","#4b","1","","1"
"Immortal Flesh","t2","1","","1"
"Bound Fate","t2","1","","1"
"Mother's Embrace","t2","1","","1"
"Dyadian Dawn","t2","1","","1"
"Mao Kun","m","1","","1"
"Spectral Shield Throw - 1/0","gemy","1","","1"
"Crackling Lance - 1/20","gemy","1","","1"
"The Tower","card","2","","1"
"The One With All","card","2","","1"
"Jack in the Box","card","2","","1"
"The Battle Born","card","1","","1"
"Blind Venture","card","1","","1"
"Scarab of Divinity","sac","3","","0.9984"
"The Mountain","card","1","","0.997"
"The Coming Storm","card","2","","0.975"
"Torment Scarab of Peculiarity","sac","2","","0.8986"
"Umbilicus Immortalis","t2","1","","0.85"
"Thunderous Skies","card","4","","0.8"
"Left to Fate","card","3","","0.7776"
"The Pack Leader","card","2","","0.7000000000000001"
"Gluttony","t2","4","","0.68"
"The Risk","card","2","","0.6666666666666666"
"Chain of Endurance","t2","3","","0.63"
"The Dreamland","card","1","","0.625"
"Dark Temptation","card","3","","0.6000000000000001"
"The Betrayal","card","2","","0.5777777777777778"
"The Sun","card","2","","0.5714285714285714"
"Loyalty","card","4","","0.5052"
"The Darkest Dream","card","1","","0.5"
"The Beast","card","1","","0.5"
"Hubris","card","1","","0.5"
"The Harvester","card","6","","0.48545454545454547"
"Imperial Legacy","card","5","","0.45455"
"Acclimatisation","card","1","","0.4324"
"Her Mask","card","2","","0.4"
"The Stormcaller","card","2","","0.4"
"Broken Truce","card","1","","0.4"
"Cursed Words","card","1","","0.38461538461538464"
"The Insatiable","card","1","","0.2966666666666667"
"Scholar of the Seas","card","2","","0.2857142857142857"
"The Body","card","1","","0.2574"
"The Deceiver","card","1","","0.25"
"The Catalyst","card","1","","0.2434666666666667"
"The Oath","card","1","","0.21666666666666667"
"The Skeleton","card","2","","0.214"
"The Visionary","card","4","","0.19333333333333333"
"Maligaro's Restraint","t2","1","","0.17"
